time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1719102681279387400,0.079387451171875,0.262128084897995,0.5849967002868652,1.0596885681152344,-0.18771232664585114,-0.49000799655914307,-0.851267397403717,-0.04818853735923767,0.05490368604660034,-0.007420897483825684,0.9620985452264089,0.2546558230890979,-0.09755358742914558,1.6361076650927252e-17
1719102681289442300,0.0894423828125,0.22537852823734283,0.5747504830360413,1.0401661396026611,-0.18787020444869995,-0.49017366766929626,-0.8511371612548828,-0.03646451234817505,0.03752174973487854,0.013505935668945312,0.9620463052362913,0.2553496805365702,-0.09606219711921227,0.005947997453114077
1719102681299496400,0.099496337890625,0.17164605855941772,0.5872622728347778,1.044664978981018,-0.18804065883159637,-0.4899202585220337,-0.8512454628944397,-0.043679267168045044,0.03473538160324097,0.020572245121002197,0.9620204877701151,0.25579077037157816,-0.09459577109856072,0.011795821838251442
1719102681309551400,0.10955126953125,0.17363089323043823,0.6163956522941589,1.0677828788757324,-0.18809953331947327,-0.4894166886806488,-0.8515220880508423,-0.03933270275592804,0.03565087914466858,0.014821648597717285,0.9620006775033844,0.2560926552776937,-0.093034997093318,0.01776713540044936
1719102681319605200,0.119605224609375,0.18309497833251953,0.6318816542625427,1.061080813407898,-0.18796496093273163,-0.48892641067504883,-0.8518334031105042,-0.03784984350204468,0.02977427840232849,0.01186758279800415,0.9619513876576768,0.2563924734411767,-0.09135754911326481,0.023795386237305365
1719102681329660400,0.129660400390625,0.208958238363266,0.590457558631897,1.057401418685913,-0.1879151165485382,-0.48860859870910645,-0.8520267009735107,-0.058193862438201904,0.03139430284500122,-0.005868196487426758,0.9618344801468687,0.25677801913165194,-0.08973118027340815,0.029796221565337608
1719102681339715600,0.139715576171875,0.24933043122291565,0.5599310398101807,1.0386943817138672,-0.18816745281219482,-0.48857998847961426,-0.8519874811172485,-0.047901272773742676,0.03637057542800903,-0.011629462242126465,0.9616223937489471,0.25731896462221904,-0.08827919815048539,0.03572404153816953
1719102681349769500,0.14976953125,0.29037711024284363,0.5477617383003235,1.0033745765686035,-0.1884228140115738,-0.4889809489250183,-0.8517009019851685,-0.02051578462123871,0.0425698459148407,-0.018370509147644043,0.9613165672702982,0.25807724605507193,-0.086865844784807,0.0414830447554895
1719102681359824400,0.159824462890625,0.3092344105243683,0.5338779091835022,0.9790542721748352,-0.1886688768863678,-0.48968741297721863,-0.8512404561042786,-0.015005409717559814,0.0514245331287384,-0.03883528709411621,0.9609379629248117,0.25898612547145344,-0.08547494625513703,0.04710028820556714
1719102681369879600,0.169879638671875,0.30836328864097595,0.5272250175476074,0.9762322902679443,-0.18896698951721191,-0.4905015528202057,-0.8507053852081299,-0.015668600797653198,0.055046290159225464,-0.05453753471374512,0.9605106643803055,0.259944656130448,-0.08411939758031205,0.05264935324909752
1719102681379933400,0.179933349609375,0.2850305438041687,0.4983252286911011,0.9645490050315857,-0.1893313080072403,-0.49121883511543274,-0.850210428237915,-0.00799533724784851,0.05681639909744263,-0.056985676288604736,0.9600659243650477,0.2608392932659529,-0.08281099860812871,0.05812634677760523
