time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1719103265445705700,0.106705810546875,-0.06612806022167206,-0.019354671239852905,-0.053444333374500275,0.0033002181444317102,-0.543177604675293,-0.8396113514900208,-0.012150300666689873,0.012370109558105469,0.003002464771270752,0.959065011453579,0.2831808096512365,0.001720539356044557,-4.928188564869249e-17
1719103265455760000,0.116759765625,-0.06204863265156746,-0.022118499502539635,-0.06423413008451462,0.00316102453507483,-0.5429175496101379,-0.8397800922393799,-0.013536996208131313,0.02800971269607544,-0.002794981002807617,0.9591090386198712,0.28303267095704004,0.0015668392346377983,-0.00027467703913914524
1719103265465814500,0.126814453125,-0.07396034151315689,-0.015463259071111679,-0.0575236938893795,0.0031006995122879744,-0.5424855947494507,-0.8400593996047974,-0.00938731711357832,0.031911253929138184,0.006181836128234863,0.9591816313177236,0.2827865037074249,0.0014459571314831745,-0.0005778712943326583
1719103265475868700,0.13686865234375,-0.05854010209441185,-0.009340918622910976,-0.0742744505405426,0.0033168825320899487,-0.5419390201568604,-0.8404112458229065,-0.0026760234031826258,0.026192009449005127,0.015811026096343994,0.9592730619510642,0.28247518710548725,0.0014647948417171412,-0.0008967267872182212
1719103265485923800,0.146923828125,-0.03201176971197128,0.02039567194879055,-0.13371312618255615,0.00392124941572547,-0.541576623916626,-0.8406422734260559,-0.011092867702245712,0.027721643447875977,0.010106325149536133,0.9593326392531292,0.2822697454604002,0.0016322877375209142,-0.0013983706980856686
1719103265495977700,0.156977783203125,-0.030329983681440353,0.03398844599723816,-0.17134307324886322,0.004998731426894665,-0.5414632558822632,-0.8407095670700073,-0.015664637088775635,0.035191893577575684,0.006542086601257324,0.9593490254508188,0.2822078216918677,0.001991136609621713,-0.002087719153284123
1719103265506032600,0.16703271484375,-0.04816671833395958,0.028186216950416565,-0.18461386859416962,0.005965087562799454,-0.5412702560424805,-0.8408275246620178,0.003998895175755024,0.042994558811187744,0.008674204349517822,0.9593777155882083,0.28210124522398383,0.0022636214739402078,-0.00287441391684253
1719103265516086500,0.17708642578125,-0.05847208574414253,0.03289761394262314,-0.15897321701049805,0.006707870401442051,-0.5409266948699951,-0.8410429954528809,0.012945453636348248,0.03921771049499512,0.00850820541381836,0.9594313686349984,0.2819087855912156,0.0024371638079214806,-0.0036027390904960366
1719103265526141700,0.1871416015625,-0.04358075559139252,0.03435036912560463,-0.1283656507730484,0.007481600157916546,-0.5403813123703003,-0.8413869738578796,0.015101401135325432,0.03365218639373779,0.007265269756317139,0.9595185437976049,0.28160149415556807,0.0026642161961868104,-0.004206068541455044
1719103265536195800,0.19719580078125,0.004559342283755541,0.02370225265622139,-0.12732595205307007,0.008135966025292873,-0.5399043560028076,-0.841687023639679,0.010510278865695,0.03880578279495239,-0.0057555437088012695,0.9595942830273346,0.2813331386265814,0.002853387997119812,-0.004727094734620716
1719103265546250500,0.20725048828125,0.05566660314798355,0.019897660240530968,-0.12383540719747543,0.00879848562180996,-0.5398936867713928,-0.8416872024536133,0.011327864602208138,0.0430065393447876,-0.01785564422607422,0.9595914378013325,0.28133108724482275,0.0030342026988871263,-0.005287889535631691
1719103265556304600,0.2173046875,0.10477768629789352,0.023594660684466362,-0.1141287162899971,0.009501393884420395,-0.5404255390167236,-0.8413382172584534,0.0286150760948658,0.04245495796203613,-0.01506131887435913,0.9594974638405834,0.2816386873601259,0.0032473639749478317,-0.0058048112644327595
1719103265566359800,0.22735986328125,0.12602731585502625,0.019046779721975327,-0.08810830116271973,0.01003766804933548,-0.5412201881408691,-0.8408210277557373,0.03447221964597702,0.03766489028930664,-0.013869524002075195,0.959360032839173,0.2820956342326614,0.003396694053045535,-0.00623966247298862
1719103265576413700,0.23741357421875,0.1462446004152298,0.02111152932047844,-0.08424045890569687,0.010404053144156933,-0.5420994758605957,-0.8402499556541443,0.01141601987183094,0.027313709259033203,-0.011480391025543213,0.9592090071363306,0.28260020406522307,0.0034861906064389426,-0.00657480410699076
1719103265586468600,0.247468505859375,0.1584092527627945,0.035523757338523865,-0.07153604924678802,0.011069796979427338,-0.5430201888084412,-0.8396466970443726,-0.003608240745961666,0.023000657558441162,-0.01823294162750244,0.9590493082087699,0.2831302753602458,0.0037282403212857396,-0.006920249606645076
1719103265596522500,0.2575224609375,0.17267100512981415,0.034134916961193085,-0.0717773288488388,0.011901138350367546,-0.544049859046936,-0.8389684557914734,-0.0028679296374320984,0.021619439125061035,-0.02675420045852661,0.9588700234030906,0.2837239037190664,0.004062715046407867,-0.007242793552245607
1719103265606577700,0.26757763671875,0.18064169585704803,0.01326559018343687,-0.05191174894571304,0.012601763941347599,-0.5451778173446655,-0.8382257223129272,-0.00198165699839592,0.020473837852478027,-0.023270249366760254,0.9586741104136123,0.2843735826952706,0.004335922711038303,-0.007539888466992397
1719103265616631800,0.2776318359375,0.20317204296588898,-0.008503088727593422,-0.018571367487311363,0.012891133315861225,-0.5461766123771667,-0.83757084608078,0.013567609712481499,0.023334205150604248,-0.02221614122390747,0.9585018436044623,0.28494730659362566,0.004426734819176822,-0.007729615583046308
1719103265626686500,0.2876865234375,0.22635594010353088,-0.008075917139649391,-0.006262038368731737,0.013019552454352379,-0.5470760464668274,-0.8369816541671753,0.016231559216976166,0.021349728107452393,-0.026208043098449707,0.958347326465651,0.2854632507202649,0.004462981941708391,-0.007821285338364072
